Temperature,Partition Function No Spliting,Partition Function SOC Spliting,Partition Function SOC + CFS Spliting,Internal Energy No Spliting,Internal Energy SOC Spliting,Internal Energy SOC + CFS Spliting,Free Energy No Spliting,Free Energy SOC Spliting,Free Energy SOC + CFS Spliting,Entropy No Spliting,Entropy SOC Spliting,Entropy SOC + CFS Spliting
300.0,14.0,6.000158232982474,4.0194236399274095,0.0,7.518544631511203e-06,0.0005894147066915123,0.0,7.518544631511203e-06,0.0005894147066915123,0.00022741636507202278,0.00015442921908213815,0.00012184375802648246
301.0005885815185,14.0,6.000164033820641,4.019728285774457,-1.7763568394002505e-15,7.656345064610548e-06,0.0005940608743992826,-1.7763568394002505e-15,7.656345064610548e-06,0.0005940608743992826,0.00022741636507202234,0.000154429675373189,0.00012185914262779693
302.0011771630371,14.0,6.0001700067535815,4.02003569154068,-1.7763568394002505e-15,7.935103775835728e-06,0.0006033651589412159,-1.7763568394002505e-15,7.935103775835728e-06,0.0006033651589412159,0.0002274163650720154,0.00015443059988393126,0.000121890002070104
303.0017657445556,14.0,6.000176155562544,4.020345858545866,-0.0,8.222069515007036e-06,0.0006127547825567348,-0.0,8.222069515007036e-06,0.0006127547825567348,0.00022741636507202234,0.0001544315484661475,0.0001219210415516446
304.00235432607417,14.0,6.000182484077196,4.020658787971432,-0.0,8.517420943654486e-06,0.0006222298380160751,-0.0,8.517420943654486e-06,0.0006222298380160751,0.0002274163650720154,0.00015443252154974732,0.00012195226019095368
305.0029429075927,14.0,6.0001889961755595,4.020974480862391,1.7763568394002505e-15,8.82133896773496e-06,0.000631790414794331,1.7763568394002505e-15,8.82133896773496e-06,0.000631790414794331,0.0002274163650720154,0.00015443351956783216,0.00012198365710447065
306.00353148911125,14.0,6.0001956957839395,4.021292938129324,-0.0,9.134006749178525e-06,0.0006414365991398441,-0.0,9.134006749178525e-06,0.0006414365991398441,0.00022741636507202234,0.00015443454295659825,0.00012201523140675449
307.00412007062977,14.0,6.000202586876831,4.02161416055035,-0.0,9.455609695230294e-06,0.0006511684741301593,-0.0,9.455609695230294e-06,0.0006511684741301593,0.00022741636507202234,0.00015443559215528452,0.00012204698221067109
308.00470865214834,14.0,6.000209673476832,4.021938148773073,-0.0,9.786335452233175e-06,0.0006609861197333089,-0.0,9.786335452233175e-06,0.0006609861197333089,0.00022741636507202234,0.0001544366676061379,0.00012207890862760834
309.00529723366685,14.0,6.000216959654532,4.022264903316537,-1.7763568394002505e-15,1.0126373897634267e-05,0.0006708896128442277,-1.7763568394002505e-15,1.0126373897634267e-05,0.0006708896128442277,0.0002274163650720154,0.00015443776975437862,0.00012211100976773637
310.0058858151854,14.0,6.0002244495283925,4.022594424573157,-0.0,1.0475917149754821e-05,0.0006808790273833409,-0.0,1.0475917149754821e-05,0.0006808790273833409,0.0002274163650720154,0.0001544388990480719,0.000122143284740122
311.00647439670394,14.0,6.0002321472646285,4.022926712810665,-0.0,1.0835159543809425e-05,0.0006909544343214336,-0.0,1.0835159543809425e-05,0.0006909544343214336,0.0002274163650720154,0.0001544400559381348,0.00012217573265304107
312.0070629782225,14.0,6.000240057077063,4.023261768174023,-1.7763568394002505e-15,1.1204297636346894e-05,0.0007011159017524804,-1.7763568394002505e-15,1.1204297636346894e-05,0.0007011159017524804,0.0002274163650720154,0.0001544412408782704,0.00012220835261406507
313.007651559741,14.0,6.000248183226983,4.023599590687342,-0.0,1.1583530187486701e-05,0.0007113634949407199,-0.0,1.1583530187486701e-05,0.0007113634949407199,0.0002274163650720154,0.0001544424543248532,0.0001222411437303214
314.00824014125953,14.0,6.000256530022981,4.023940180255778,-0.0,1.1973058168024409e-05,0.0007216972763872676,-0.0,1.1973058168024409e-05,0.0007216972763872676,0.0002274163650720154,0.00015444369673697084,0.00012227410510864262
315.0088287227781,14.0,6.000265101820791,4.024283536667434,1.7763568394002505e-15,1.2373084742556273e-05,0.0007321173058780772,1.7763568394002505e-15,1.2373084742556273e-05,0.0007321173058780772,0.0002274163650720154,0.00015444496857628526,0.00012230723585576753
316.0094173042966,14.0,6.0002739030231025,4.024629659595237,-0.0,1.278381525704475e-05,0.0007426236405425612,-0.0,1.278381525704475e-05,0.0007426236405425612,0.0002274163650720154,0.00015444627030697378,0.00012234053507852866
317.0100058858152,14.0,6.000282938079383,4.024978548598811,3.552713678800501e-15,1.3205457245035745e-05,0.0007532163349122101,3.552713678800501e-15,1.3205457245035745e-05,0.0007532163349122101,0.0002274163650720154,0.00015444760239573252,0.00012237400188398403
318.0105944673337,14.0,6.000292211485678,4.025330203126336,1.7763568394002505e-15,1.3638220391243294e-05,0.0007638954409596721,1.7763568394002505e-15,1.3638220391243294e-05,0.0007638954409596721,0.0002274163650720154,0.00015444896531164112,0.0001224076353796115
319.0111830488523,14.0,6.000301727784399,4.025684622516392,-1.7763568394002505e-15,1.4082316558194918e-05,0.0007746610081769134,-1.7763568394002505e-15,1.4082316558194918e-05,0.0007746610081769134,0.0002274163650720154,0.0001544503595261454,0.00012244143467347174
320.0117716303708,14.0,6.000311491564118,4.026041805999806,-1.7763568394002505e-15,1.4537959747151774e-05,0.0007855130836080804,-1.7763568394002505e-15,1.4537959747151774e-05,0.0007855130836080804,0.00022741636507200846,0.00015445178551300176,0.00012247539887439915
321.01236021188936,14.0,6.000321507459335,4.026401752701456,-0.0,1.5005366098108652e-05,0.0007964517119098957,-0.0,1.5005366098108652e-05,0.0007964517119098957,0.0002274163650720154,0.0001544532437481802,0.00012250952709206078
