Temperature,Internal Energy,Heat Capacity
10.0,-0.005592455924678827,0.00027596979251299754
20.0,-0.0028327579995488517,0.0003031128601164111
30.0,0.0004698012776493954,0.000334810922849671
40.0,0.0038634604574445675,0.0003404599413779241
50.0,0.007279000105207878,0.0003416318986124711
60.0,0.01069609842969399,0.0003414171125720511
70.0,0.0141073423566489,0.0003406828296344422
80.0,0.017509755022382834,0.00033973921934791205
90.0,0.02090212674360714,0.0003387133920292662
100.0,0.024284022862968158,0.0003376622776169569
110.0,0.02765537229594628,0.00033661300476452995
120.0,0.031016282958258756,0.00033557907285945986
130.0,0.034366953753135476,0.0003345673679477912
140.0,0.03770763031721458,0.000333581394001925
150.0,0.041038581633173976,0.0003326228378210061
160.0,0.0443600870736347,0.00033169236373673525
170.0,0.04767242890790868,0.0003307900364813321
180.0,0.050975887803261344,0.00032991555668751007
190.0,0.05427074004165888,0.000329068397989829
200.0,0.057557255763057924,0.00032824789041470127
210.0,0.06083569784995291,0.00032745327336201056
220.0,0.06410632123029814,0.000326683730757793
230.0,0.06736937246510877,0.0003259384153132316
240.0,0.07062508953656277,0.00032521646578516085
250.0,0.07387370178081198,0.00032451701955622526
260.0,0.07711542992768727,0.00032383922185985625
270.0,0.08035048621800911,0.00032318223255316524
280.0,0.08357907457875058,0.00032254523107297926
290.0,0.0868013908394687,0.0003219274199125266
300.0,0.09001762297700111,0.00032132802702449225
310.0,0.09322795137995854,0.00032074630736786955
320.0,0.0964325491243585,0.00032018154377198014
330.0,0.09963158225539814,0.00031963304735000976
340.0,0.1028252100713587,0.00031910015746348106
350.0,0.10601358540466777,0.00031858224141814164
360.0,0.10919685489972153,0.0003180786939950053
370.0,0.11237515928456787,0.0003175889367440732
380.0,0.11554863363460299,0.00031711241721552594
390.0,0.11871740762887839,0.00031664860810849406
400.0,0.12188160579677287,0.00031619700632177226
410.0,0.12504134775531384,0.00031575713204006205
420.0,0.12819674843757412,0.00031532852777047535
430.0,0.13134791831072334,0.00031491075733924845
440.0,0.13449496358435908,0.000314503404948141
450.0,0.13763798640968616,0.00031410607424504634
460.0,0.14077708506926,0.00031371838739460147
470.0,0.1439123541575782,0.0003133399841715345
480.0,0.1470438847526907,0.0003129705210881184
490.0,0.15017176457934056,0.00031260967056709885
500.0,0.15329607816403268,0.00031225712013451814
510.0,0.15641690698203092,0.0003119125716466442
520.0,0.15953432959696556,0.00031157574056237534
530.0,0.16264842179327843,0.00031124635526396104
540.0,0.16575925670224478,0.00031092415634361716
550.0,0.16886690492015077,0.00031060889601803866
560.0,0.17197143462260556,0.0003103003375088065
570.0,0.1750729116703269,0.00030999825445405805
580.0,0.17817139971168672,0.0003097024304565821
590.0,0.18126696027945854,0.0003094126584812784
600.0,0.18435965288131229,0.00030912874042314796
610.0,0.1874495350879215,0.00030885048665822977
620.0,0.19053666261447688,0.0003085777155888536
630.0,0.19362108939969858,0.0003083102532571047
640.0,0.19670286767961898,0.00030804793299239465
650.0,0.19978204805954647,0.0003077905949965043
660.0,0.20285867957954906,0.00030753808600820777
670.0,0.20593280977971062,0.0003072902590531612
680.0,0.20900448476061229,0.00030704697306873643
690.0,0.21207374924108535,0.00030680809263117226
700.0,0.21514064661323573,0.00030657348768272643
710.0,0.21820521899473988,0.0003063430332929329
720.0,0.2212675072790944,0.0003061166094141754
730.0,0.2243275511830234,0.00030589410064294496
740.0,0.2273853892919533,0.00030567539597541326
750.0,0.23044105910253165,0.00030546038865963965
760.0,0.23349459706514608,0.0003052489759625132
770.0,0.23654603862178192,0.0003050410589480634
780.0,0.23959541824410735,0.00030483654240924806
790.0,0.24264276946996688,0.00030463533463489514
800.0,0.24568812493680525,0.0003044373471766448
810.0,0.24873151641349978,0.00030424249483758105
820.0,0.2517729748335569,0.0003040506955017008
830.0,0.2548125303235338,0.00030386186990654095
840.0,0.2578502122316877,0.0003036759416204404
850.0,0.2608860491559426,0.00030349283686064154
860.0,0.2639200689689005,0.00030331248435686573
870.0,0.2669522988430799,0.0003031348153513136
880.0,0.2699827652759268,0.0003029597633826597
890.0,0.2730114941107331,0.0003027872642405782
900.0,0.27603851056073836,0.00030261725592026776
910.0,0.27906383922913847,0.00030244967834960337
920.0,0.2820875041277304,0.0003022844734573482
930.0,0.28510952869828543,0.0003021215851617853
940.0,0.28812993583096613,0.0003019609591433436
950.0,0.2911487478811523,0.00030180254277638595
960.0,0.29416598668649385,0.0003016462851746837
970.0,0.297181673584646,0.0003014921369867807
980.0,0.30019582942622947,0.0003013400504528363
990.0,0.3032084745937027,0.00022517303979856517
1000.0,0.30469929022220077,0.00014908156284980655
