Final Volume (m^3),Work Done to Gas (J)
0.1,-0.0
0.10408163265306122,-98.99269819485886
0.10816326530612246,-192.69475973793595
0.11224489795918369,-281.57311808384435
0.1163265306122449,-366.0383931166476
0.12040816326530612,-446.45337967512023
0.12448979591836735,-523.14001767421
0.1285714285714286,-596.385155422939
0.1326530612244898,-666.4453460959601
0.13673469387755102,-733.550863808432
0.14081632653061227,-797.9090853846146
0.14489795918367349,-859.7073531866822
0.1489795918367347,-919.1154107785834
0.15306122448979592,-976.2874849372895
0.15714285714285714,-1031.3640732786066
0.16122448979591839,-1084.4734855731422
0.1653061224489796,-1135.7331779757214
0.16938775510204082,-1185.250912344686
0.17346938775510207,-1233.125767183698
0.17755102040816328,-1279.4490221926417
0.1816326530612245,-1324.3049347323076
0.18571428571428572,-1367.7714235101012
0.18979591836734694,-1409.9206723416728
0.19387755102040818,-1450.8196648275743
0.1979591836734694,-1490.5306591196172
0.20204081632653062,-1529.11161057142
0.20612244897959187,-1566.6165489184398
0.21020408163265308,-1603.0959156721547
0.2142857142857143,-1638.596866607073
0.21836734693877552,-1673.1635435405033
0.22244897959183674,-1706.8373190315265
0.22653061224489798,-1739.6570171393762
0.2306122448979592,-1771.6591129678955
0.23469387755102042,-1802.8779133699459
0.23877551020408164,-1833.3457208837617
0.24285714285714288,-1863.0929827142177
0.2469387755102041,-1892.1484263490893
0.2510204081632653,-1920.539183208103
0.2551020408163266,-1948.2909015562518
0.25918367346938775,-1975.4278497686419
0.263265306122449,-2001.9730109088105
0.2673469387755102,-2027.9481694732503
0.27142857142857146,-2053.37399105956
0.2755102040816327,-2078.2700956322124
0.2795918367346939,-2102.6551249868107
0.2836734693877551,-2126.546804949419
0.28775510204081634,-2149.9620027910123
0.2918367346938776,-2172.916780287169
0.29591836734693877,-2195.426442809056
0.30000000000000004,-2217.505584792731
