Final Volume (m^3),Work Done to Gas (J)
0.1,-0.0
0.10408163265306122,-99.78685777837481
0.10816326530612246,-195.73479415391745
0.11224489795918369,-288.12827521104714
0.1163265306122449,-377.2212747920173
0.12040816326530612,-463.241482570378
0.12448979591836735,-546.3938103516716
0.1285714285714286,-626.8633325201937
0.1326530612244898,-704.8177667965108
0.13673469387755102,-780.4095789351145
0.14081632653061227,-853.777777762635
0.14489795918367349,-925.0494536688732
0.1489795918367347,-994.3411033296138
0.15306122448979592,-1061.759775342474
0.15714285714285714,-1127.4040650651361
0.16122448979591839,-1191.3649818652748
0.1653061224489796,-1253.726707927997
0.16938775510204082,-1314.567264496393
0.17346938775510207,-1373.9590987737602
0.17755102040816328,-1431.9696025617377
0.1816326530612245,-1488.6615719461101
0.18571428571428572,-1544.0936158930197
0.18979591836734694,-1598.3205204214246
0.19387755102040818,-1651.3935740245224
0.1979591836734694,-1703.3608591853283
0.20204081632653062,-1754.2675141392265
0.20612244897959187,-1804.155968454742
0.21020408163265308,-1853.0661555134773
0.2142857142857143,-1901.035704555315
0.21836734693877552,-1948.1001146027527
0.22244897959183674,-1994.292912278232
0.22653061224489798,-2039.6457952719518
0.2306122448979592,-2084.188762997908
0.23469387755102042,-2127.9502357870365
0.23877551020408164,-2170.9571638034804
0.24285714285714288,-2213.2351267292815
0.2469387755102041,-2254.8084251408045
0.2510204081632653,-2295.7001643942467
0.2551020408163266,-2335.93233174526
0.25918367346938775,-2375.5258673471676
0.263265306122449,-2414.5007297017446
0.2673469387755102,-2452.8759560746917
0.27142857142857146,-2490.6697183336432
0.2755102040816327,-2527.899374618666
0.2795918367346939,-2564.5815172130424
0.2836734693877551,-2600.732016944765
0.28775510204081634,-2636.366064416169
0.2918367346938776,-2671.4982083297655
0.29591836734693877,-2706.1423911522934
0.30000000000000004,-2740.3119823357933
